textid	pair	text	label
28	This example is Sports	(Sports Network) - Roger Clemens tries to win his seventh straight decision and possibly vault the Houston Astros into the lead in the National League wild card standings, as they go for a three-game sweep of the NL Central champion St.	ENTAILMENT
29	This example is Sports	Paris, France (Sports Network) - French favorite Sebastien Grosjean and three- time Roland Garros champion Gustavo Kuerten of Brazil will not play in next month #39;s Paris Masters due to injuries.	ENTAILMENT
30	This example is Sports	(Sports Network) - Dwyane Wade followed up his career-high 37-point effort on Monday night with 22 points and nine assists to lead the Miami Heat to a 103-93 victory over the Washington Wizards in the back end of a home-and-home set on Tuesday at 	ENTAILMENT
31	This example is Sports	KNOXVILLE, Tennessee (Sports Network) - Mike Goolsby #39;s interception return for a touchdown gave Notre Dame the lead and the Fighting Irish held on for a 17-13 win over ninth-ranked Tennessee at Neyland Stadium.	ENTAILMENT
32	This example is Sports	 ATHENS, Ga. (Sports Network) - David Greene threw a  school-record five touchdown passes to lift the No. 3 Georgia  Bulldogs to a 45-16 rout of the 13th-ranked LSU Tigers in a  Southeastern Conference matchup at Sanford Stadium.	ENTAILMENT
33	This example is Sports	(Sports Network) - The Heat suffered a 93-84 loss to the San Antonio Spurs on Friday night at the SBC Center. Shaquille O #39;Neal had 23 points and 21 rebounds for Miami, which played without star guard Dwyane 	ENTAILMENT
34	This example is Sports	(Sports Network) - Matt Ginter will get the start for an injured Victor Zambrano this afternoon when the New York Mets conclude their three-game series with the San Francisco Giants at SBC Park.	ENTAILMENT
35	This example is Sports	 ANAHEIM, Calif. (Sports Network) - The Anaheim Angels have  reportedly traded outfielder Jose Guillen to the  Washington-bound Expos in exchange for outfielder Juan Rivera  and a prospect.	ENTAILMENT
36	This example is Sports	(Sports Network) - Brad Miller had 26 points and nine rebounds and Peja Stojakovic chipped in 22 points to lead the Sacramento Kings to a 101-89 victory over the Denver Nuggets on Sunday.	ENTAILMENT
37	This example is Sports	(Sports Network) - The New York Yankees try to move one step closer to a division title when they conclude their critical series with the Boston Red Sox at Fenway Park.	ENTAILMENT
38	This example is Sports	(Sports Network) - The suddenly struggling Los Angeles Clippers attempt to put an end to a three-game skid tonight, when they battle the Minnesota Timberwolves at the Target Center.	ENTAILMENT
39	This example is Sports	(Sports Network) - The San Francisco Giants not only have wild card apsirations, but they can possibly win the NL West. San Francisco will play the middle contest of a three-game series versus the Los Angeles Dodgers today in southern California.	ENTAILMENT
40	This example is Sports	(Sports Network) - Los Angeles will try to win the NL West title tonight, while hampering San Francisco #39;s playoff chances, as the Dodgers and Giants open a three-game series at Dodger Stadium.	ENTAILMENT
41	This example is Sports	 EAST RUTHERFORD, N.J. (Sports Network) - The Toronto  Raptors have traded All-Star swingman Vince Carter to the New  Jersey Nets in exchange for center Alonzo Mourning, forward  Eric Williams, center/forward Aaron Williams and two first-  round draft picks.	ENTAILMENT
42	This example is Sports	San Francisco, CA (Sports Network) - Dustan Mohr dropped a fly ball with two outs and the bases loaded in the top of the 12th inning to allow two runs to score, and the New York Mets went on to defeat the San Francisco Giants 11-9 in the see-saw middle 	ENTAILMENT
43	This example is Sports	Anaheim, CA (Sports Network) - The Washington Nationals have signed free-agent first baseman Wil Cordero to a one-year contract, and also agreed to terms with outfielder Jeffrey Hammonds on a minor league deal with an invitation to spring training.	ENTAILMENT
44	This example is Sports	 INDIANAPOLIS, Ind. (Sports Network) - The Toronto Raptors  have traded All-Star swingman Vince Carter to the New Jersey  Nets in exchange for center Alonzo Mourning, forward Eric  Williams, center/forward Aaron Williams and two conditional  first-round draft picks. The trade cannot be announced until  the NBA approves it for salary-cap purposes.	ENTAILMENT
45	This example is Sports	(Sports Network) - The winless Golden State Warriors start a five-game road trip tonight, as they visit the undefeated Dallas Mavericks at American Airlines Center.	ENTAILMENT
46	This example is Sports	 COLUMBUS, Ohio (Sports Network) - Troy Smith threw for 161  yards and two touchdowns, leading the Ohio State Buckeyes to a  commanding 30-7 victory over the Indiana Hoosiers in Big Ten  action from Ohio Stadium.	ENTAILMENT
47	This example is Sports	(Sports Network) - The Colorado Rockies continue a four-game series versus the NL West-leading Los Angeles Dodgers tonight at Dodger Stadium.	ENTAILMENT
48	This example is Sports	Eindhoven, the Netherlands (Sports Network) - PSV Eindhoven will be without striker Jan Vennegoor of Hesselink for up to six weeks due to a shoulder injury.	ENTAILMENT
49	This example is Sports	SPORTS NETWORK - Tampa Bay Buccaneers defensive tackle Anthony McFarland is likely sidelined the rest of this season because of a torn triceps muscle.	ENTAILMENT
50	This example is Sports	 EAST RUTHERFORD, New Jersey (Sports Network) - Retired NBA  center and seven-time All- Star Alonzo Mourning is going to  give his playing career one more shot.	ENTAILMENT
51	This example is Sports	 MIAMI (Sports Network) - Frank Gore scored on an 18-yard  touchdown run in overtime, as No. 5 Miami-Florida outlasted  fourth-ranked and arch-rival Florida State, 16-10, at the  Orange Bowl in the season-opener for both teams.	ENTAILMENT
52	This example is Sports	(Sports Network) - The Detroit Pistons will try to avoid their first three- game losing streak of the season when they head to Madison Square Garden to battle the New York Knicks.	ENTAILMENT
53	This example is Sports	 LEXINGTON, Ky. (Sports Network) - Kelenna Azubuike poured  in a game-high 21 points, Shagari Alleyne added 11 points and  Kentucky rolled past Morehead State, 71-40, in non-conference  play at Rupp Arena.	ENTAILMENT
54	This example is Sports	WEST LAFAYETTE, Indiana (Sports Network) - Garrett Rivas kicked a 35-yard field goal with 2:45 left in the fourth quarter to lead 13th-ranked Michigan to a 16-14 win over No.	ENTAILMENT
55	This example is Sports	CBC SPORTS ONLINE - Free-agent first baseman Richie Sexson is the newest member of the Seattle Mariners. The four-year deal, which was contingent on Sexson passing a physical, was announced Wednesday and is reportedly worth \$10 million US per season.	ENTAILMENT
56	This example is Sports	 ST. LOUIS (Sports Network) - St. Louis Cardinals starting  pitcher Chris Carpenter is expected to miss the first round of  the playoffs next week with an injury to his right arm.	ENTAILMENT
57	This example is Sports	 NEW ORLEANS (Sports Network) - Dustin Almond passed for 299  yards with a touchdown and rushed for another score to lead the  Southern Mississippi Golden Eagles to a 31-10 victory over the  North Texas Mean Green in the New Orleans Bowl at the  Superdome.	ENTAILMENT
58	This example is Sports	 CHAPEL HILL, N.C. (Sports Network) - Rashad McCants scored  a game-high 28 points to lead No. 9 North Carolina over  eighth-ranked Kentucky, 91-78, as the nation's two winningest  programs battled at Dean Smith Center.	ENTAILMENT
59	This example is Sports	(Sports Network) - The Toronto Raptors continues its Western Conference road trip tonight when they play the Utah Jazz at the Delta Center.	ENTAILMENT
60	This example is Sports	COLUMBUS, Ohio (Sports Network) - Troy Smith threw for 161 yards and two touchdowns, leading the Ohio State Buckeyes to a commanding 30-7 victory over the Indiana Hoosiers in Big Ten action from Ohio Stadium.	ENTAILMENT
61	This example is Sports	Sports India, Cricket: Kolkata, Nov 27 : With the revocation of captain Sourav Ganguly #39;s two-match suspension, a resurgent Indian team is looking forward to the second and final Test against South Africa beginning at the Eden Gardens here Sunday.	ENTAILMENT
62	This example is Sports	(Sports Network) - The Toronto Blue Jays posted a blowout victory over the Oakland Athletics on Sunday afternoon. Gabe Gross hit his first career grand slam and Russ Adams added his first career homer in a 	ENTAILMENT
63	This example is Sports	New York, NY (Sports Network) - The one-year deal between Eddie Robinson and the New York Knicks is off after the free agent forward failed a physical.	ENTAILMENT
64	This example is Sports	 TOKYO (Sports Network) - Roger Clemens pitched four-plus  solid innings and David Ortiz had a two-run single to highlight  a three-run sixth inning, as the MLB All-Stars downed the  Japanese All-Stars, 7-2, at the Tokyo Dome.	ENTAILMENT
65	This example is Sports	 STARKVILLE, Miss. (Sports Network) - Lawrence Roberts  scored 19 points and pulled down 13 rebounds to lead  15th-ranked Mississippi State to a 66-52 victory over South  Alabama at Humphrey Coliseum.	ENTAILMENT
66	This example is Sports	(Sports Network) - Anaheim registered a narrow 2-1 win over the Cleveland Indians at Jacobs Field Sunday night. John Lackey pitched 7 1/3 solid innings to lead the Angels to the victory.	ENTAILMENT
67	This example is Sports	(Sports Network) - The Oakland Athletics try to strengthen their hold atop the American League West this evening when they start a four-game series with the Texas Rangers at the Coliseum.	ENTAILMENT
68	This example is Sports	 DENVER (Sports Network) - Carmelo Anthony of the Denver  Nuggets was cited for possession of marijuana before boarding a  team flight, but the star forward said the drug was left in his  bag by a friend.	ENTAILMENT
69	This example is Sports	(Sports Network) - Rashard Lewis scored 22 points to lead the Seattle SuperSonics to a 103-95 win over the Indiana Pacers at KeyArena.	ENTAILMENT
70	This example is Sports	(Sports Network) - Ryan Drese attempts win No. 15 this afternoon when the Texas Rangers conclude their three-game set with the Seattle Mariners at Ameriquest Field.	ENTAILMENT
71	This example is Sports	 SHAWNEE, Oklahoma (Sports Network) - Former heavyweight  champion Riddick Bowe is eyeing a return to the ring after  hanging up the gloves in 1996.	ENTAILMENT
72	This example is Sports	Lyon, France (Sports Network) - Lyon will head into the winter break on top of the Ligue 1 table and unbeaten after a 1-1 draw against Marseille Friday at the Stade Gerland.	ENTAILMENT
73	This example is Sports	Sports #39; highest court rejected an appeal from a South Korean gymnast on Thursday, ruling that Hamm is the rightful champion in the men #39;s all-around competition at the Athens Games.	ENTAILMENT
74	This example is Sports	KANSAS CITY, Mo. (Sports Network) - Adrian Peterson rushed for 171 yards and three scores, as the second-ranked Oklahoma Sooners likely punched their ticket to the Orange Bowl with a 42-3 pasting of the Colorado Buffaloes in the Big 12 championship game.	ENTAILMENT
75	This example is Sports	CBC SPORTS ONLINE - AC Milan striker Andriy Shevchenko was named the Ballon d #39;Or (Golden Ball) award winner on Monday as European soccer player of the year.	ENTAILMENT
76	This example is Sports	Miami, FL (Sports Network) - Frank Gore scored from one yard out in the final minute to lift the third-ranked Miami Hurricanes to a 41-38 victory over No.	ENTAILMENT
77	This example is Sports	Louisville, KY (Sports Network) - Stefan LeFors threw three touchdown passes to lead 12th-ranked Louisville to a 55-28 rout over TCU at Papa John #39;s Cardinal Stadium.	ENTAILMENT
78	This example is Sports	(Sports Network) - The Dallas Mavericks were knocked off by the Seattle SuperSonics, 107-102, at American Airlines Center. Dirk Nowitzki tallied 27 points and seven rebounds for the Mavs, who have dropped two of three.	ENTAILMENT
79	This example is Sports	Chicago, IL (Sports Network) - A two-run triple by JD Drew keyed a three-run rally in the top of the eighth inning as the Atlanta Braves eliminated the Chicago Cubs from playoff contention with an 8-6 comeback victory at Wrigley Field.	ENTAILMENT
80	This example is Sports	Lecce, Italy (Sports Network) - Alessandro Del Piero led Juventus to a 1-0 victory in the rain over Lecce Sunday. The win allowed Juve to maintain a six point cushion on top of the table.	ENTAILMENT
81	This example is Sports	Pro baseball: New York Yankees vs. Red Sox at Fenway Park, 7 p.m. College field hockey: Fairfield at Sacred Heart, 4 p.m.; Castleton St. at Becker, 4 p.m.; UMBC at Maine, 5 p.m.; Providence at UNH, 7 p.m.	ENTAILMENT
82	This example is Sports	(Sports Network) - The Reds begin a four-game set against the Chicago Cubs at Great American Ball Park today. Cincinnati will rely on righthander Josh Hancock to get the job done on the mound tonight.	ENTAILMENT
83	This example is Sports	ANN ARBOR, Michigan (Sports Network) - Braylon Edwards caught a 24-yard touchdown pass in the third overtime to lead 12th-ranked Michigan to a 45-37 win over Michigan State in Big Ten action at Michigan Stadium.	ENTAILMENT
84	This example is Sports	 PHOENIX (Sports Network) - Free agent third baseman Troy  Glaus is reportedly headed to the Arizona Diamondbacks.	ENTAILMENT
85	This example is Sports	Liverpool, England (Sports Network) - Antonio Nunez arrived at Liverpool Tuesday as part of the deal that sent Michael Owen to Spanish giant Real Madrid. 	ENTAILMENT
86	This example is Sports	 ORLANDO, Fla. (Sports Network) - Hedo Turkoglu came off the  bench to contribute 19 points and Dwight Howard netted 15  points with 11 rebounds, leading the Orlando Magic over the  Dallas Mavericks, 94-84, at TD WaterHouse Center.	ENTAILMENT
87	This example is Sports	St. Louis, MO (Sports Network) - John Carney #39;s 31-yard field goal 7:04 into overtime handed the New Orleans Saints a dramatic 28-25 victory over the St.	ENTAILMENT
88	This example is Sports	Munich, Germany (Sports Network) - Bayern Munich will try to avenge a 1-0 loss to Juventus from two weeks ago when it hosts the Italian side Wednesday in a Champions League Matchday 4 encounter.	ENTAILMENT
89	This example is Sports	CBC SPORTS ONLINE - Gary Sheffield of the New York Yankees underwent successful arthroscopic surgery on his left shoulder Tuesday.	ENTAILMENT
90	This example is Sports	Monaco, France (Sports Network) - Auxerre and its potent strike force of Benjani Mwaruwari and Bonaventure Kalou have a difficult challenge Sunday when they travel to Monaco for an important French Ligue 1 match.	ENTAILMENT
91	This example is Sports	(Sports Network) - The Suns fell in overtime to the Cleveland Cavaliers, 114-109, on Wednesday at Gund Arena. Shawn Marion paced six Phoenix players in double figures with 22 points and Quentin Richardson had 21.	ENTAILMENT
92	This example is Sports	 CHICAGO (Sports Network) - Peyton Manning threw four  touchdown passes and Edgerrin James ran for 204 yards with a  score, as the Indianapolis Colts rolled to a 41-10 victory over  the Chicago Bears at Soldier Field.	ENTAILMENT
93	This example is Sports	PHILADELPHIA (Sports Network) - Kyle Eckel rushed for a career-high 179 yards and a touchdown to lead the Navy Midshipmen to a 42-13 rout of the Army Black Knights in the 105th meeting of the storied rivalry between the service academies from Lincoln 	ENTAILMENT
94	This example is Sports	(Sports Network) - Two of the top teams in the American League tangle in a possible American League Division Series preview tonight, as the West-leading Oakland Athletics host the wild card-leading Boston Red Sox for the first of a three-game set at the 	ENTAILMENT
95	This example is Sports	(Sports Network) - The struggling Cleveland Indians try to halt a season-high eight-game losing streak tonight, as they host the New York Yankees in the second of a three-game series at Jacobs Field.	ENTAILMENT
96	This example is Sports	Syracuse, NY (Sports Network) - Syracuse junior point guard Billy Edelin has been granted the academic waiver petition by the NCAA, making him eligible to play immediately for the Orange.	ENTAILMENT
97	This example is Sports	Sapporo, Japan (Sports Network) - Daisuke Matsuzaka went the distance on a five-hitter to lead Japan to a 5-1 victory over the Major League Baseball All- Stars in the sixth of an eight-game exhibition series.	ENTAILMENT
98	This example is Sports	 PHOENIX (Sports Network) - Randy Johnson became the  all-time major league strikeout leader among left-handed  pitchers on a night he led the Arizona Diamondbacks to a 3-2  win over the Colorado Rockies in the third of a four- game set  at Bank One Ballpark.	ENTAILMENT
99	This example is Sports	 PHOENIX (Sports Network) - Randy Johnson became the  all-time major league strikeout leader among left-handed  pitchers on a night he led the Arizona Diamondbacks to a 3-2  win over the Colorado Rockies in the third of a four- game set  at Bank One Ballpark.	ENTAILMENT
100	This example is World	World News New York, Sep 24, : Sanjay Kumar, former CEO of New York-based software giant Computer Associates, has pleaded not guilty to charges of defrauding investors by fudging records.	ENTAILMENT
101	This example is Sports	(Sports Network) - Ichiro Suzuki will try to add to his new single-season hits record, as he takes the field for the Seattle Mariners in the middle test of a season-ending three-game series against the visiting Texas Rangers.	ENTAILMENT
102	This example is Sports	(Sports Network) - The Mariners will try to get back on the winning track tonight, when they battle the Anaheim Angels in the middle test of a three- game series.	ENTAILMENT
103	This example is Sports	CBC SPORTS ONLINE - Scott Gomez has headed home to Alaska to play some hockey during the lockout. Gomez, a 24-year-old Anchorage native, skated Monday with the Alaska Aces of the ECHL and could debut in Friday #39;s home opener against the San Diego Gulls.	ENTAILMENT
104	This example is Sports	(Sports Network) - The Anaheim Angels and Texas Rangers will continue their battle for the division crown this evening, as they continue a four-game series at Ameriquest Field.	ENTAILMENT
105	This example is Sports	Houston, TX (Sports Network) - JD Drew singled home Rafael Furcal with the go-ahead run in the top of the ninth and John Smoltz pitched out of a jam in the bottom of the inning, as the Atlanta Braves forced a decisive fifth game of the National League 	ENTAILMENT
106	This example is Sports	Houston, TX (Sports Network) - JD Drew singled home Rafael Furcal with the go-ahead run in the top of the ninth and John Smoltz pitched out of a jam in the bottom of the inning, as the Atlanta Braves forced a decisive fifth game of the National League 	ENTAILMENT
107	This example is Sports	SPACE.com -  quot;My heart stopped \  here on the ground. quot;\  -- Erik Lindbergh	ENTAILMENT
108	This example is Sports	Anaheim, CA (Sports Network) - Anaheim Angels outfielder Vladimir Guerrero was drilled on the left side of his head by a pitch from Mariners pitcher Ryan Franklin, forcing him out of Monday #39;s game in the first inning.	ENTAILMENT
109	This example is Sports	Lyon, France (Sports Network) - Juventus and French international striker David Trezeguet underwent surgery Tuesday on his injured left shoulder.	ENTAILMENT
110	This example is Sports	Southampton, England (Sports Network) - Southampton and manager Paul Sturrock have agreed to an amicable separation, effective immediately.	ENTAILMENT
111	This example is Sports	Liverpool, England (Sports Network) - Former English international and Liverpool great Emlyn Hughes passed away Tuesday from a brain tumor.	ENTAILMENT
112	This example is Sports	CBC SPORTS ONLINE - New York Yankees right-fielder Gary Sheffield will undergo arthroscopic shoulder surgery Tuesday. Sheffield, runner-up to Anaheim #39;s Vladimir Guerrero for most valuable player honours in 	ENTAILMENT
113	This example is Sports	Baltimore, MD (Sports Network) - The Baltimore Orioles have agreed to terms with veteran first baseman/designated hitter Rafael Palmeiro Wednesday to a one-year contract.	ENTAILMENT
114	This example is Sports	Las Vegas, NV (Sports Network) - Brian Grant had 22 points and Chris Mihm added 15, as the Los Angeles Lakers downed the Phoenix Suns, 111-103.	ENTAILMENT
115	This example is Sports	Los Angeles, CA (Sports Network) - Steve Finley #39;s two-run single capped a five-run ninth inning, leading the Los Angeles Dodgers to a 5-4 victory over the Colorado Rockies at Dodger Stadium in the second contest of a four-game series.	ENTAILMENT
116	This example is Sports	 NORMAN, Okla. (Sports Network) - True freshman Adrian  Peterson rushed for 183 yards and two touchdowns as the No. 2  Oklahoma Sooners downed the Oregon Ducks, 31-7, at Memorial  Stadium.	ENTAILMENT
117	This example is World	Reuters - EarthLink Inc. on Thursday\posted a higher third-quarter profit, helped by subscriber\growth, but it forecast revenue below analysts' consensus\target for the current quarter, which dragged down shares 9\percent.	ENTAILMENT
118	This example is Sports	Jacksonville, FL (Sports Network) - According to Tuesday #39;s edition of the Florida Times-Union, Jacksonville Jaguars starting quarterback Byron Leftwich will miss at least four weeks and perhaps the rest of the season with a left knee injury.	ENTAILMENT
119	This example is Sports	(Sports Network) - The New York Yankees will try to strengthen their hold on first place in the American league East this evening when they continue their three- game series with the Toronto Blue Jays at Yankee Stadium.	ENTAILMENT
120	This example is Sports	(Sports Network) - The Anaheim Angels will try to get back on the winning track and break an 18-inning scoreless drought when they open up a crucial three-game set against the Seattle Mariners tonight at Angel Stadium.	ENTAILMENT
121	This example is Sports	 PHILADELPHIA (Sports Network) - Offensive lineman Shawn  Andrews, Philadelphia's No. 1 draft pick this year, suffered a  fractured right leg in Sunday's game against the New York  Giants. Head coach Andy Reid said after the Eagles' 31-17  victory that Andrews will miss the rest of the season.	ENTAILMENT
122	This example is Sports	 OAKLAND, Calif. (Sports Network) - Texas Rangers second  baseman Alfonso Soriano left Thursday's 5-4 loss to Oakland  after he injured his left leg, and he might miss the rest of  the season.	ENTAILMENT
123	This example is Sports	STARKVILLE, Mississippi (Sports Network) - Jerious Norwood #39;s 37-yard touchdown run with 32 seconds remaining in the fourth quarter lifted Mississippi State to a shocking 38-31 victory over 20th-ranked Florida.	ENTAILMENT
124	This example is Sports	 COLUMBUS, Ohio (Sports Network) - Mike Nugent's 55-yard  field goal as time expired lifted the ninth-ranked Ohio State  Buckeyes to a dramatic 24-21 win over the pesky Marshall  Thundering Herd in the first-ever meeting between the teams.	ENTAILMENT
125	This example is Business	The story of Baiji power station, which can produce more electricity than any plant in Iraq, helps explain why power generation remains one of the most vexing reconstruction challenges in the country.	ENTAILMENT
126	This example is Business	BOMBAY -- For centuries, this city has been the citadel where Zoroastrianism, one of the world's oldest religions, has persevered in the face of overwhelming odds.	ENTAILMENT
127	This example is Sports	(Sports Network) - Curt Schilling will try to become the first pitcher in the major leagues to reach 19 wins, as he heads to the mound for the Boston Red Sox in the second test of a four-game series against the Seattle Mariners.	ENTAILMENT
128	This example is Sports	Brescia, Italy (Sports Network) - New acquisition Zlatan Ibrahimovic scored in his debut as Juventus dominated Brescia 3-0 Sunday.	ENTAILMENT
129	This example is Sports	 ANAHEIM, Calif. (Sports Network) - Anaheim Angels  outfielder Vladimir Guerrero was drilled on the left side of  his head by a pitch from Mariners pitcher Ryan Franklin,  forcing him out of Monday's game in the first inning.	ENTAILMENT
130	This example is Sports	(Sports Network) - The Los Angeles Lakers begin a season-high six-game homestand tonight against the Washington Wizards at the Staples Center.	ENTAILMENT
131	This example is Sports	Athens, Greece (Sports Network) - Greek weightlifter Leonidas Sampanis on Sunday was stripped of the bronze medal he won last week and banished from the Athens Games for failing an antidoping test.	ENTAILMENT
132	This example is Sports	(Sports Network) - Pedro Martinez will try to win his fourth consecutive decision, as he takes the hill for the Boston Red Sox in the middle test of a three-game series against the visiting Toronto Blue Jays. 	ENTAILMENT
133	This example is Sports	Minneapolis, MN (Sports Network) - The Minnesota Twins have come to terms with veteran pitcher Terry Mulholland on a minor league contract.	ENTAILMENT
134	This example is Sports	Philadelphia, PA (Sports Network) - Donovan McNabb threw four touchdown passes, including three to Terrell Owens, to lead the Philadelphia Eagles to a 31-17 victory over the New York Giants in the season-opener for both teams at Lincoln Financial Field.	ENTAILMENT
135	This example is Sports	 COLUMBUS, Ohio (Sports Network) - Troy Smith threw for 241  yards and two touchdowns and ran for 145 yards and a score to  lead the Ohio State Buckeyes to a 37-21 victory over No. 7  Michigan in the final game of the regular season for both  teams.	ENTAILMENT
136	This example is Sports	Athens, Greece (Sports Network) - Ellen Estes scored the game-winning goal with just 2:20 remaining, leading the United States women #39;s water polo team to a 6-5 victory over Australia in the bronze medal match Thursday.	ENTAILMENT
