textid	pair	text	label
15	This example is Sci/Tech	The transfer of technological innovations from the campus to the capitalist marketplace has been a financial windfall for many schools.	ENTAILMENT
16	This example is Sci/Tech	USATODAY.com - Consumers are snatching up old and new TV favorites on DVD as quickly as studios can release them. TV shows on DVD are one of the fastest-growing trends in the home video business.	ENTAILMENT
17	This example is World	Four Hollywood studios announced that they would release films in a new high-definition DVD format by the end of next year, an advance in the effort to define a new DVD standard.	ENTAILMENT
18	This example is World	Memory cards are made by a variety of manufacturers, and come in different sizes. Prices among capacities and types of memory cards also vary.	ENTAILMENT
19	This example is Sci/Tech	SEPTEMBER 13, 2004 (IDG NEWS SERVICE) - SAN FRANCISCO -- Intel Corp. last week outlined a plan to develop a mobile processor with two CPU cores, but the company remained silent about its strategy for dual-core 	ENTAILMENT
20	This example is Sci/Tech	Technology brings a whole new light to history.Technology brings a whole new light to history.Technology brings a whole new light to history.	ENTAILMENT
21	This example is World	Allawi #39;s office confirms that his cousin #39;s wife and his cousin #39;s pregnant daughter-in-law were released Sunday. There #39;s no word on the cousin, 75-year-old Ghazi Allawi.	ENTAILMENT
22	This example is Sports	 GAZA (Reuters) - An Israeli helicopter fired a missile at  an unknown target in Gaza City on Friday, witnesses said, hours  after troops killed eight Palestinians in southern Gaza. There  were no immediate reports of casualties.	ENTAILMENT
23	This example is World	Some stocks you buy and never sell. Others you bought and wish you #39;d sold. But there are those cyclical stocks that should be bought and sold repeatedly over the years as their prices move in time to the economy.	ENTAILMENT
24	This example is World	Microsoft TV's IPTV channel guide can search programs and offer descriptions.	ENTAILMENT
25	This example is Sci/Tech	Bold, innovative solutions are key to addressing the rapidly rising costs of higher education and the steady reduction in government-subsidized help to finance such education.	ENTAILMENT
26	This example is Sci/Tech	Online search leader Google Inc. is becoming more bookish. Expanding a program introduced last year, Google is inviting publishers to include entire books in its index, enabling people to peak at the contents before making a decision on whether to buy.	ENTAILMENT
27	This example is World	Microsoft has launched a beta version of an MSN search engine designed to compete directly with Google. MSN Search lets users search through more than 5 billion documents, Microsoft says.	ENTAILMENT
28	This example is Sci/Tech	In the past, I have taken great pride in informing you, my readers, about new and cutting-edge technology. Sometimes it is also necessary to re-examine existing or older technologies.	ENTAILMENT
29	This example is Sci/Tech	Computer-based matching system helps students to find the most compatible roommates.	ENTAILMENT
30	This example is World	Internet powerhouse Yahoo has given its popular Web site a facelift to highlight some of the features that the company has been improving during the past year.	ENTAILMENT
31	This example is Sports	A strong earthquake shook western Japan on yesterday, injuring at least four people, news reports said. There were no immediate reports of damage.	ENTAILMENT
32	This example is Sci/Tech	The new search tool from Google matches queries with the content inside a book. If there is a match, Google will show links to that particular book in the search-results page.	ENTAILMENT
33	This example is World	The countdown to the conclusion of the privately funded race for space is producing some last-minute surprises, with a key competitor postponing its bid just days before its scheduled flight.	ENTAILMENT
34	This example is Sci/Tech	On-demand viewing isn't just for TiVo owners anymore. Television over internet protocol, or TVIP, offers custom programming over standard copper wires.	ENTAILMENT
35	This example is Sci/Tech	In the Internet age, making telephone contact with a human for customer service is a daunting task. Some companies no longer disclose phone numbers. But some consumers have found ways around the blockade.	ENTAILMENT
36	This example is World	Adobe, one of the top manufacturers of image editing software, has created a new format for digital images that will save the data in raw file formats to allow professionals more freedom to control the various aspects and key details of raw image files.	ENTAILMENT
37	This example is World	Initial public offerings just wrapped up one of their best weeks in some time, with 10 companies coming to market, raising \$1.7 billion, and several soaring in their debuts.	ENTAILMENT
38	This example is World	Reciprocal Link Scams\ \Reciprocal link scams are on the rise. It is no secret that most search engines count the quantity and quality of incoming links to a website when deciding how to rank it. In fact some give weight to the ratio of incoming links versus outbound links. This ...	ENTAILMENT
39	This example is Sci/Tech	Memo outlines converting four divisions into two, as company refocuses.	ENTAILMENT
40	This example is Sci/Tech	 LOS ANGELES (Reuters) - Sales of video games rose about 11  percent in the United States in November, analysts said on  Friday, with two key titles responsible for almost 30 percent  of all games sold in the month.	ENTAILMENT
41	This example is World	Sometimes it takes looking into the casket and viewing the body to get closure. Sometimes it takes seeing the cadaver to accept finality.	ENTAILMENT
42	This example is Sci/Tech	You can usually find information more easily on the vast Internet than you can on your own computer #39;s hard drive. The reason, of course, is that the search tools designed to index the Internet are much better developed than those for personal computers.	ENTAILMENT
43	This example is World	Online employment indexes that focus on Internet job listings may establish themselves as forward-looking indicators of trends that will appear later in the government surveys.	ENTAILMENT
44	This example is World	With most states reporting massive new voter registrations and many political observers worrying about potential voter confusion and allegations of fraud on Nov.2, one organization has created a web-based tool to answer questions and provide information.	ENTAILMENT
45	This example is World	Fines worth more than \$12 million US were imposed on those establishments that allowed children to play violent or adult-only games and for other violations.	ENTAILMENT
46	This example is Business	Carrie Alison, editor of the largest U2 fan Web site, confirmed that some fans are angry at the band #39;s decision. She said,  quot;Some pockets of U2 fans will rankle at the band aligning themselves with a major 	ENTAILMENT
47	This example is Sci/Tech	The field, expected to become a trillion-dollar industry by 2012, promises a host of technological and medical advances while also stirring fears because some of the products appear to be toxic and many are not regulated.	ENTAILMENT
48	This example is World	The second-largest satellite entertainment provider adds 350,000 subscribers.	ENTAILMENT
49	This example is World	Yahoo Offering Cheaper Domain Names and Hosting\\Yahoo has changed their small business targeting approach by offering domain names for \$9.95 as part of an aggressive move to expand its presence in domains and small business web hosting. Yahoo is also beefing up its shared hosting accounts, offering 2 gigabytes of ...	ENTAILMENT
50	This example is World	Amazon.co.uk has added a rental service to its DVD tab allowing customers to rent six DVDs a month for 9.99 or four DVDs for 7.99 additionally rental members will save an extra 10 per cent off of Amazons DVD prices.	ENTAILMENT
51	This example is Business	The Motley Fool - You've got a money question, and the guy in the next cubicle hasn't a clue how to answer. You need trustworthy information. But where to start?	ENTAILMENT
52	This example is Sports	which bows to no conference commissioner, has its own network and grazes from coast to coast for prestigious opponents -- could be changing its scheduling philosophy.	ENTAILMENT
53	This example is Sci/Tech	It will be a short trading week, but that is probably the best reason to take a long, hard look at some of the companies that will be in the news.	ENTAILMENT
54	This example is World	Aug. 18 (Bloomberg) -- AMP Ltd., Australia #39;s largest life insurer, posted its first half of profit in four after Chief Executive Andrew Mohl reduced debt, cut costs and sold more equity investment products. The stock fell as much as 3.7 percent. 	ENTAILMENT
55	This example is World	US President George W. Bush said on Wednesday that his government still adheres to the strong-dollar policy.  quot;The policy of my government is a strong-dollar policy, quot; Bush 	ENTAILMENT
56	This example is World	Four new stocks shot out of the starting gates Friday and posted upbeat opening-day gains, riding investor momentum spurred by stronger-than-expected pricings from two initial public offerings while two others came in at the top of expectations.	ENTAILMENT
57	This example is Sci/Tech	In the Internet age, making telephone contact with a human for customer service is a daunting task. But some consumers have found ways around the blockade.	ENTAILMENT
58	This example is Sci/Tech	Software that lets computers split into virtual machines will create more powerful subdivisions.	ENTAILMENT
59	This example is Business	NewsFactor - America Online (NYSE: AOL) is giving Microsoft (Nasdaq: MSFT) a second chance by agreeing to\support the software giant's anti-spam technology that it previously had rejected.	ENTAILMENT
60	This example is Sports	ATHENS, Greece Greek weightlifter Leonidas Sampanis has been stripped of his bronze medal for a doping offense. It was the first medal to be stripped from an athlete in Athens because of doping.	ENTAILMENT
61	This example is Sci/Tech	Four Hollywood studios announced that they would release films in the group's high-definition DVD format by the end of next year, an advance in the effort to define a new DVD standard.	ENTAILMENT
62	This example is World	Firms sign joint development, marketing deal for integrated product expected next year.	ENTAILMENT
63	This example is Business	Banknorth Group's largest shareholder, Private Capital Management, said it plans to vote in favor of the merger with Canada's TD Bank Financial Group after expressing reservations several months ago. The change increases the likelihood the merger will go through. Several of Banknorth's major shareholders had reservations because of the deal's structure. TD plans to acquire a majority stake in the ...	ENTAILMENT
64	This example is Sci/Tech	Three major movie studios have signed on for Sony #39;s high-definition technology for the discs. But a competitor has drawn big support, too.	ENTAILMENT
65	This example is Sci/Tech	There have been signs of danger he has read about, warnings of trouble told to him.	ENTAILMENT
66	This example is World	In the deadliest year for journalists in a decade, 54 reporters and crew are killed around the world.	ENTAILMENT
67	This example is Sci/Tech	Christmas is just around the corner and major computer games software publishers are readying their wares for the festive season. But these latest games are not your typical children #39;s programs.	ENTAILMENT
68	This example is World	They let developers create software that supports 64-bit x86 chips--important in making the new generation of chips useful.	ENTAILMENT
69	This example is World	Some spammers are getting their messages through using techniques designed to spot and stop them. A survey shows that spammers are the biggest users of a technique designed to find out if e-mail comes from the net address it says it does.	ENTAILMENT
70	This example is Sci/Tech	A number of signs point to increasing demand for tech workers, but not all the clouds have been driven away.	ENTAILMENT
71	This example is World	The entertainment giant wraps up a successful fiscal year and sets the course for consistent growth.	ENTAILMENT
72	This example is Sci/Tech	SanDisk Corp. has doubled the maximum capacities of its SanDisk miniSD and SanDisk RS-MMC memory cards to 512 megabytes. The popular cards are used in a variety of electronic 	ENTAILMENT
73	This example is Sci/Tech	One layer of the new disk is in standard DVD format, while the other layer will be in the HD DVD format. Such a combination lets film studios put a movie in DVD format on one side and, on the other, in HD DVD format.	ENTAILMENT
74	This example is Sci/Tech	One of the most respected engineering gateways on the web has just released four new databases providing free access to hundreds of online scientific and technical journals.	ENTAILMENT
75	This example is Sci/Tech	As companies ramp up open-source deployments, expertise is in high demand and short supply. The costs of developing talent can add up.	ENTAILMENT
76	This example is World	 quot;I don #39;t really have any regrets. I think I learned a lot from a lot of experiences that I dealt with over my career. There #39;s nothing for me to look back and regret.	ENTAILMENT
77	This example is World	Both campaigns have laid out plans for a barrage of visits and television advertisements in these key battlegrounds over the next 10 days.	ENTAILMENT
78	This example is World	Forbes.com - Wesley Miller was a walking medicine cabinet after undergoing triple-bypass surgery in 1994. By late 2001 he was on 16 drugs, including Lipitor for high cholesterol, Glucotrol for diabetes and three pills to lower his blood pressure. He couldn't walk from his front doorstep to the mailbox without doubling over in chest pain. At one point tests showed the blockages were back and that his arteries were too damaged to risk another operation. He thought he might die.	ENTAILMENT
79	This example is Sci/Tech	Learn a little about yourself, and it may improve your performance.	ENTAILMENT
80	This example is Sci/Tech	SAN DIEGO -- Here at the DemoMobile 2004 conference, about 40 vendors had six minutes each to demonstrate their wireless technology invention to the crowd. Some products, although amazing in description, don't translate very well on the live screen and in such a tight time constraint. Some demonstrations, however, entirely captivate the audience and leave in their wake an audible buzz of excited voices.	ENTAILMENT
81	This example is Sports	Fame is nice. Fame gets you money, women and if you just so happen to be an athlete, your name in video games. Thousands of professional and college athletes around the country participate in these video games 	ENTAILMENT
82	This example is Sci/Tech	There #39;s a balance to making a sequel to a successful video or computer game. The developer, at the very least, is expected to match the quality of the first game.	ENTAILMENT
83	This example is Sports	Reuters - Three court-appointed doctors\examined Chile's former military dictator Augusto Pinochet on\Thursday, a key step that will decide whether the 88-year-old\general will stand trial for human rights abuses.	ENTAILMENT
84	This example is Sci/Tech	The update uses stronger encryption and does a better job of letting only authorised users join wireless nets. The improvements have been made to re-assure businesses that wi-fi networks can be made safe enough to be really useful and widely deployed.	ENTAILMENT
85	This example is World	Public libraries are allowed to review and choose the books that end up on the shelves based on resources and community standards.	ENTAILMENT
86	This example is World	NewsFactor - Microsoft (Nasdaq: MSFT) will release a low-cost version of Windows for the Russian market in an attempt to combat the country's pirated software problem and growing Linux adoption.	ENTAILMENT
87	This example is World	The vendor adds features to its storage appliance to quickly bring back online storage that had been dedicated to an underused application.	ENTAILMENT
88	This example is Sci/Tech	Google has officially joined the race to come up with a way to search videos and TV shows. In addition to a search technology for Internet-based video content, Google is also working with TV and cable broadcasters 	ENTAILMENT
89	This example is World	The company reports double-digit growth in eight out of 11 business units.	ENTAILMENT
90	This example is Sci/Tech	Find.com Business Search Engine Adds Content Providers\\Find.com, a search engine for business professionals, today announced that it has signed PricewaterhouseCoopers LLC, IBISWorld, IOMA, Datamonitor, and Mintel as new premium content providers for the business search engine. Find.com was founded in June 2004 to provide a solution for business professionals in ...	ENTAILMENT
91	This example is World	Some candidates moderated their stance in light of a consensus proclaiming the election, while not problem-free, a success.	ENTAILMENT
92	This example is Sci/Tech	Nearly all of the 2,755 musicians who participated in a recent survey reported using the Internet for ideas and inspiration, with nine out of 10 going online to promote, advertise and post their music.	ENTAILMENT
93	This example is Sci/Tech	Tuesday, Microsoft (Nasdaq: MSFT) announced a strategy of bringing digital entertainment to users in the home, at the office, or on the go.	ENTAILMENT
94	This example is Sci/Tech	It lets users search for scholarly literature such as peer-reviewed papers, theses, abstracts and technical reports from resources such as academic publishers, universities, professional societies and preprint repositories.	ENTAILMENT
95	This example is World	A sudden, measurable decline in market share in any product over the course of a few months says something, even if that product is one whose producer still holds about 90 of the market in question.	ENTAILMENT
96	This example is Sci/Tech	Rebates are getting easier. Instead of making it as difficult as possible for a consumer to claim a rebate, some retailers are simplifying the process, figuring fewer hassles along the way will build customer loyalty and raise sales.	ENTAILMENT
97	This example is World	The EU is backing a project that would let viewers personalise shows and films to suit their tastes.	ENTAILMENT
98	This example is Sci/Tech	Hand-held entertainment gizmos don #39;t just play music anymore. They have morphed into general-purpose devices that display photos on full-color screens and, in some cases, even play video.	ENTAILMENT
99	This example is Sci/Tech	Some websites are now offering surfers the chance to download free  quot;phishing kits quot; containing all the graphics, web code and text required to construct the kind of bogus sites used in internet phishing scams. 	ENTAILMENT
100	This example is Sci/Tech	Killing a virus attack before it becomes damaging is something of a holy grail in today #39;s security environment. That #39;s because most viruses today are distributed through attachments to e-mail 	ENTAILMENT
101	This example is Sci/Tech	Some game makers are trying to get players to expand their horizons by reflecting on news events in games	ENTAILMENT
102	This example is Sci/Tech	Napster will be launching its own downloaded music chart on Virgin Radio at 7pm on August 29th. The chart will be compiled from the top 20 most popular tracks bought each week from Napster UK service. The chart will also include tracks that have been ...	ENTAILMENT
103	This example is Sci/Tech	Vodafone has confirmed that it will launch its 3G service in the UK in November. The announcement came hot on the heals of the operators announcement of the handsets it will be making available for the launch.	ENTAILMENT
104	This example is Sports	Description: NPR #39;s Linda Gradstein reports from the Israeli town of Sderot, a frequent target of Palestinian rocket fire from the nearby Gaza Strip.	ENTAILMENT
105	This example is Sci/Tech	After a drop off earlier this fall, more fraudulent Web sites are popping up.	ENTAILMENT
106	This example is World	In at least one of the past three years, 82 of the largest US companies paid no federal income taxes, a report released Wednesday said.	ENTAILMENT
107	This example is Sports	From digital video cameras on the sidelines to Sony PlayStation 2s in the locker room, technology is changing the way coaches and players prepare for games.	ENTAILMENT
108	This example is Sci/Tech	Logic Pro 7, the next major release of the award-winning professional music creation and audio production software, will change the way musicians and audio engineers worldwide compose, record, edit and mix music in any studio environment. In addition to more than 100 workflow enhancements, breakthrough new software instruments, new mastering plug-ins and support for Apple Loops, Logic Pro 7 also debuts distributed audio processing, a revolutionary technology which allows audio pros to tap into a virtually unlimited number of Macs to expand available Digital Signal Processing (DSP) power. Sep 29	ENTAILMENT
109	This example is Sci/Tech	Some Web sites are now offering surfers the chance to download free  quot;phishing kits quot; containing all the graphics, Web code and text required to construct the kind of bogus Web sites used in Internet phishing scams. 	ENTAILMENT
110	This example is Sports	I don #39;t know about you, but this season really doesn #39;t feel like it #39;s started yet. You just about get into the groove of a couple of matches in a row, and then some sodding international match pops up and that #39;s it - everything goes on hold for two weeks.	ENTAILMENT
111	This example is World	In this week's TravelWatch column: A small experiment in Armenia shows how easy it is to turn an urban dead zone into an appealing, living place.	ENTAILMENT
112	This example is Sci/Tech	A new report predicts that the federal market for knowledge management solutions will grow by almost one-third in the next five years to more than \$1.	ENTAILMENT
113	This example is Sci/Tech	Keeping up with newly issued patents for search-related technology can help you spot emerging trends and potentially new competitors to the existing major web search players.	ENTAILMENT
114	This example is World	AP - Internet powerhouse Yahoo Inc. has given its popular Web site a facelift to highlight some of the features that the company has been improving during the past year.	ENTAILMENT
115	This example is Business	Our favorite genre-busters will roll, creep, slither, bounce, and wriggle their way into your free time--if you give them a try.	ENTAILMENT
116	This example is World	Shipments of PDAs and similar handheld devices declined for the third consecutive quarter, according to the latest data from IDC. Third-quarter global PDA shipments fell 8.7 percent compared to the same period last year.	ENTAILMENT
117	This example is World	Five prestigious university and public libraries have reached agreement with Google Inc. to digitize millions of volumes in their collections and make portions of the text available for free 	ENTAILMENT
118	This example is Business	 quot;I think it #39;s kind of fun to play new courses, quot; she said.  quot;During the year we don #39;t get to see very many courses other than the ones we play on the tour.	ENTAILMENT
119	This example is World	Yet another security flaw reported for popular Web browser.	ENTAILMENT
120	This example is World	Two leading midmarket CRM vendors released expansions of their platforms this week, branching further into the service side of CRM.	ENTAILMENT
121	This example is Business	Despite a country's commitment to marketplace logic, some firms are simply too big and too entangled to be allowed to fold.	ENTAILMENT
122	This example is Sci/Tech	New technology can trick a caller ID box into displaying the name and phone number of an entirely different person or company than the one actually calling.	ENTAILMENT
123	This example is Sci/Tech	A stolen copy of the latest sequel in one of the top-selling video game series of all time began circulating on the Web late Wednesday, the second high-profile game theft in a week.	ENTAILMENT
124	This example is World	IBM has announced virtual resources to help its business partners accelerate the building and deployment of on-demand business applications tailored to customer requirements across all vertical industries.	ENTAILMENT
125	This example is Sci/Tech	The two new names reflect a bit of a shift in the naming structure, since they are designed for specific business or interest groups.	ENTAILMENT
126	This example is World	Universal has signed a handful of artists to a digital-only record label. Starting Tuesday, it will release songs through online services like iTunes.	ENTAILMENT
127	This example is Sci/Tech	More businesses are out to convert die-hard check writers to electronic billing by offering perks, lower interest rates or discounted prices.	ENTAILMENT
128	This example is World	Ziff Davis - Microsoft has published a list of nearly 50 software programs that require tweaking in order to work with its most recent Windows update.	ENTAILMENT
129	This example is World	One of the new drives is just 3 inches in diameter, features a retractable USB cable for easy carrying and can store 5GB of data.\	ENTAILMENT
130	This example is Sci/Tech	Nextance last week announced its Intellectual Property Optimization Suite, which enables users to manage valuable intellectual property (IP) assets and associated contractual agreements in order to more effectively optimize revenue and mitigate legal risk related to IP. Nextance's IP Optimization Suite manages the entire lifecycle of IP assets and addresses such issues as underutilized IP assets, underpaid licensing and royalty revenue, unnecessary risks related to legal compliance, and sluggish time-to-market for new solutions that increasingly depend on IP. Pricing starts at \$500,000 and ranges to over \$1,000,000 depending on the size of the organization and sophistication of the implementation.	ENTAILMENT
131	This example is Business	This WeatherBug Backyard weather station, dubbed the Wireless Vantage Pro2, streams meteorology data to a desktop.	ENTAILMENT
132	This example is World	The move will delay the reduction in reported profits for many companies, and may give them more time to lobby Congress to stop the rule from taking effect at all.	ENTAILMENT
133	This example is Sci/Tech	Microsoft said some spyware could cause computers to freeze up upon installation of the SP2 update. Microsoft recommends that users clean their PCs of spyware and back up their data before 	ENTAILMENT
134	This example is Sci/Tech	Microsoft said some spyware could cause computers to freeze up upon installation of the SP2 update. Microsoft recommends that users clean their PCs of spyware and back up their data before 	ENTAILMENT
135	This example is Business	Some of the real estate coveted most by the Internet giants isn #39;t on the Internet at all. It #39;s on your computer hard drive.	ENTAILMENT
136	This example is Sci/Tech	Credit cards issuers may face penalty from the regulators as credit cards solicitation is not as reliable as they are said. Consumers sometimes are not given the whole information about the possibly imposed 	ENTAILMENT
137	This example is Sci/Tech	NASA is planning to add a strong dose of artificial intelligence (AI) to planetary rovers to make them much more self-reliant, capable of making basic decisions during a mission. Scientists are developing very complex AI software that enables a higher level of robotic intelligence.	ENTAILMENT
138	This example is Sci/Tech	May result in unexpected behavior	ENTAILMENT
139	This example is World	NewsFactor - Orange has launched its long-awaited 3G mobile service in the UK, with the goal of signing up as many as 2 million subscribers by the end of 2006.	ENTAILMENT
140	This example is World	The libraries of some of the world's most important academic institutions are to be digitised by Google.	ENTAILMENT
141	This example is Sci/Tech	A survey shows that more workers are relying on technology to do their job while on the move.	ENTAILMENT
142	This example is Sci/Tech	\A series of X-Prizes for breakthroughs in science or technology that solve the world's greatest challenges are planned.	ENTAILMENT
143	This example is Business	Investor's Business Daily - That's the lesson Microsoft and Sun Microsystems are about to learn as they take on Linux -- and each other -- in dueling efforts to woo Wall Street techies.	ENTAILMENT
144	This example is World	The handset giant has announced an operator-brandable end-to-end content distribution system in an effort to satisfy the needs of developers, carriers and end users.	ENTAILMENT
145	This example is Sci/Tech	The latest snapshot shows an economy that has returned to a moderate economic expansion of about 3 percent. At this pace, the economy is not growing fast enough to create large numbers of jobs 	ENTAILMENT
146	This example is Business	The growth in electronic toys that sing, provide realistic sound effects and make other noises has led to yet another hazard for children, a consumer advocate group said Tuesday.	ENTAILMENT
147	This example is Sci/Tech	Its one of the oldest techniques in the book. When an issue arises, and youd rather not talk about it, give the media something else to discuss.	ENTAILMENT
148	This example is Sci/Tech	"Company lets businesses and governments obtain products at ""low lease rates"" or defer payments until January at no extra cost."	ENTAILMENT
149	This example is Sci/Tech	Electronics manufacturers are designing products that are smaller and lighter, yet offering more and more gadgets that travelers feel compelled to take with them.	ENTAILMENT
150	This example is World	Six Ways To Create a Keyword-Rich Domain Name\\An effective domain name can help to brand your site. It can also communicate to your customers the types of products you sell online. An easy to remember domain that describes your services should be the goal of every site owner. Here are ...	ENTAILMENT
151	This example is World	PayPal has launched a new promotion offering five free tracks from the iTunes Music Store. You can now use PayPal to securely and easily buy music from the massive iTunes catalogue, including lots of exclusive tracks and videos.	ENTAILMENT
152	This example is Sci/Tech	Open-source software and off-the-shelf hardware make strong showing among the best of the biggest.	ENTAILMENT
153	This example is World	Inhabitants of virtual worlds are giving the games they play real economic power, a study has found.	ENTAILMENT
154	This example is World	and two days later his company hit another milestone. It released what #39;s easily its most important product in more than nine years.	ENTAILMENT
155	This example is Sports	Reuters - Hurricane Ivan killed at least 20 people\as it laid waste to the tiny spice island of Grenada, where\looting hampered relief efforts on Wednesday as the storm swept\through the Caribbean heading northwest.	ENTAILMENT
156	This example is Sci/Tech	Symantec Wednesday said fiscal second-quarter earnings more than doubled over the previous year as the company saw growth across all of its business segments.	ENTAILMENT
157	This example is World	The company is wrestling with its third scandal in just over a year, raising questions about whether board members were doing an adequate job.	ENTAILMENT
158	This example is World	"One analyst complains that the gear maker is in a ""perpetual state of transition, constantly trying to identify where it can execute."""	ENTAILMENT
159	This example is Sci/Tech	Over the past year, spyware has become an increasing problem. Every time that you visit a web site, you must run the gauntlet of a variety of pop-up adverts, any of which can be programmed to place spyware on your computer. 	ENTAILMENT
160	This example is Sci/Tech	Reuters - Jeffrey Greenberg, chairman and chief\executive of embattled insurance broker Marsh   McLennan Cos.\, is expected to step down within hours, a newspaper\reported on Friday, citing people close to the discussions.	ENTAILMENT
161	This example is Sci/Tech	A series of X-Prizes for the scientific or technological breakthroughs that tackle the most important challenges facing humans are being planned.	ENTAILMENT
162	This example is Sci/Tech	Reuters - Russia on Thursday observed a\day of mourning for at least 89 people who died in a mysterious\double air disaster, which some fear could have been a\terrorist attack ahead of a key election in rebel Chechnya.	ENTAILMENT
163	This example is Sci/Tech	In one of the first enforcement actions of the Americans with Disabilities Act on the Internet, two major travel services have agreed to make sites more accessible to the blind and visually impaired.	ENTAILMENT
164	This example is Sci/Tech	In one of the first enforcement actions of the Americans with Disabilities Act on the Internet, two major travel services have agreed to make sites more accessible to the blind and visually impaired.	ENTAILMENT
165	This example is Sci/Tech	The Google franchise could be coming to a Web browser near you; that is, if all the recent clues add up. Evidence is growing that may support rumors that the preeminent search company plans to introduce a Google-branded Web browser down the road.	ENTAILMENT
166	This example is Sci/Tech	A graphics card or video card is a component of a computer which is designed to convert a logical representation of an image stored in memory to a signal that can be used as input for a display medium.	ENTAILMENT
167	This example is Sci/Tech	Sometimes, when you're living through an event, you can be too close to what's happening to realize the magnitude of it.	ENTAILMENT
168	This example is Sports	You can strap it around your arms or wind it around your neck while on your morning jog. And while you jog, you can listen to songs, download and store your personal CD albums directly, listen to FM radio 	ENTAILMENT
169	This example is Sci/Tech	Sony said yesterday that it has built a desktop computer with 1 TB of data storage and seven analog television tuners. The PC will be able to record a week #39;s worth of programming on six channels at the same time.	ENTAILMENT
170	This example is Sci/Tech	With downloadable books and information portals, the new reading room is anywhere and everywhere.	ENTAILMENT
171	This example is World	Description: NPR #39;s John Ydstie talks with John Allen, Vatican correspondent for The National Catholic Reporter, about Sunday #39;s beatification ceremony for five new Catholic saints.	ENTAILMENT
172	This example is Sports	Reuters - Investigators are closely scrutinizing\the role of major international banks in the meltdown of\Parmalat, the scandal-ridden dairy group based in Italy, the\Wall Street Journal reported on Tuesday.	ENTAILMENT
173	This example is Business	NewsFactor - Over the course of this series, CRM Daily is looking at areas that tend to develop into financial black holes for companies launching or updating a CRM project.	ENTAILMENT
174	This example is Sci/Tech	Students have developed a web-based tool which can automatically spot and update broken weblinks.	ENTAILMENT
175	This example is Sci/Tech	Shopping search engines make it easy for people to research and buy products. They can also be a powerful and cost-effective customer acquisition channel for merchants.	ENTAILMENT
176	This example is Sci/Tech	Universal said HD DVD can deliver enhanced picture and sound quality, greater storage capacity and increased interactivity. An additional benefit is backwards compatibility, allowing existing 	ENTAILMENT
177	This example is Sci/Tech	Interactive exhibits have been a mainstay in museums for more than three decades. In recent years museums have become more creative about the way they introduce technology into their exhibits.	ENTAILMENT
178	This example is Sci/Tech	Microsoft Corp. has published a list of nearly 50 applications and games that may not work correctly after installing Service Pack 2 (SP2) for Windows XP.	ENTAILMENT
